Activated
ClientSizeChanged
Update: dt = 0	 Total seconds: 0
Update: dt = 0.0999999	 Total seconds: 0.0999999
Update: dt = 0.0024956	 Total seconds: 0.102496
Update: dt = 0.0167103	 Total seconds: 0.119206
Update: dt = 0.0163132	 Total seconds: 0.135519
Update: dt = 0.0165672	 Total seconds: 0.152086
Update: dt = 0.022008	 Total seconds: 0.174094
Update: dt = 0.0114935	 Total seconds: 0.185588
Update: dt = 0.0169137	 Total seconds: 0.202501
Update: dt = 0.0166917	 Total seconds: 0.219193
Update: dt = 0.0164558	 Total seconds: 0.235649
Update: dt = 0.0167205	 Total seconds: 0.252369
Update: dt = 0.0163334	 Total seconds: 0.268703
Update: dt = 0.0168236	 Total seconds: 0.285526
Update: dt = 0.0164835	 Total seconds: 0.30201
Update: dt = 0.0167158	 Total seconds: 0.318726
Update: dt = 0.0169007	 Total seconds: 0.335626
Update: dt = 0.0164313	 Total seconds: 0.352058
Update: dt = 0.0166301	 Total seconds: 0.368688
Update: dt = 0.0164863	 Total seconds: 0.385174
Update: dt = 0.0166293	 Total seconds: 0.401803
Update: dt = 0.017481	 Total seconds: 0.419284
Update: dt = 0.0161603	 Total seconds: 0.435445
Update: dt = 0.0167178	 Total seconds: 0.452163
Update: dt = 0.0166265	 Total seconds: 0.468789
Update: dt = 0.0169501	 Total seconds: 0.485739
Update: dt = 0.0163215	 Total seconds: 0.502061
Update: dt = 0.0166569	 Total seconds: 0.518718
Update: dt = 0.0166759	 Total seconds: 0.535393
Update: dt = 0.0164203	 Total seconds: 0.551814
Update: dt = 0.0168766	 Total seconds: 0.56869
Update: dt = 0.0168533	 Total seconds: 0.585544
Update: dt = 0.0168983	 Total seconds: 0.602442
Update: dt = 0.0164088	 Total seconds: 0.618851
Update: dt = 0.0162899	 Total seconds: 0.635141
Update: dt = 0.0176576	 Total seconds: 0.652798
Update: dt = 0.0158123	 Total seconds: 0.66861
Update: dt = 0.0170216	 Total seconds: 0.685632
Update: dt = 0.0165269	 Total seconds: 0.702159
Update: dt = 0.0167355	 Total seconds: 0.718894
Update: dt = 0.0166431	 Total seconds: 0.735538
Update: dt = 0.0168556	 Total seconds: 0.752393
Update: dt = 0.0161714	 Total seconds: 0.768565
Update: dt = 0.0168596	 Total seconds: 0.785424
Update: dt = 0.0166056	 Total seconds: 0.80203
Update: dt = 0.0168738	 Total seconds: 0.818904
Update: dt = 0.0171421	 Total seconds: 0.836046
Update: dt = 0.0162595	 Total seconds: 0.852305
Update: dt = 0.0169584	 Total seconds: 0.869264
Update: dt = 0.0158763	 Total seconds: 0.88514
Update: dt = 0.0166913	 Total seconds: 0.901831
Update: dt = 0.0168734	 Total seconds: 0.918705
Update: dt = 0.0168173	 Total seconds: 0.935522
Update: dt = 0.0165052	 Total seconds: 0.952027
Update: dt = 0.0170634	 Total seconds: 0.96909
Update: dt = 0.0168173	 Total seconds: 0.985908
Update: dt = 0.0161465	 Total seconds: 1.00205
Update: dt = 0.0169453	 Total seconds: 1.019
Update: dt = 0.0168782	 Total seconds: 1.03588
Update: dt = 0.0163278	 Total seconds: 1.05221
Update: dt = 0.0167067	 Total seconds: 1.06891
Update: dt = 0.0167581	 Total seconds: 1.08567
Update: dt = 0.0165874	 Total seconds: 1.10226
Update: dt = 0.0167999	 Total seconds: 1.11906
Update: dt = 0.0165483	 Total seconds: 1.13561
Update: dt = 0.0165262	 Total seconds: 1.15213
Update: dt = 0.0166312	 Total seconds: 1.16876
Update: dt = 0.0167103	 Total seconds: 1.18547
Update: dt = 0.016525	 Total seconds: 1.202
Update: dt = 0.0168363	 Total seconds: 1.21883
Update: dt = 0.0165562	 Total seconds: 1.23539
Update: dt = 0.0166064	 Total seconds: 1.252
Update: dt = 0.0166972	 Total seconds: 1.26869
Update: dt = 0.0169133	 Total seconds: 1.28561
Deactivated
